LAT,LNG
-35.28751,149.068329
-35.291889,149.063995
-35.347042,149.047943
-35.273621,149.140823
-35.216084,149.002975
-35.212837,149.004196
-35.212666,149.004013
-35.216072,149.003357
-35.209343,149.00322
-35.209293,149.002975
-35.192123,149.085968
-35.192142,149.086075
-35.426113,149.091614
-35.425972,149.091705
-35.418968,149.120026
-35.42786,149.091034
-35.427479,149.091415
-35.425655,149.09549
-35.425766,149.095459
-35.426369,149.098007
-35.426601,149.098114
-35.428486,149.100616
-35.428391,149.100357
-35.428791,149.10289
-35.428921,149.102844
-35.435093,149.113739
-35.436661,149.111282
-35.436859,149.11084
-35.439865,149.098618
-35.439835,149.09848
-35.441601,149.100906
-35.441601,149.10112
-35.444824,149.105713
-35.444454,149.103989
-35.447277,149.124619
-35.447346,149.124481
-35.449867,149.122559
-35.450001,149.122498
-35.450821,149.120102
-35.450718,149.1203
-35.434803,149.086151
-35.434727,149.085968
-35.426731,149.074173
-35.426899,149.074188
-35.428455,149.075302
-35.428543,149.075333
-35.430763,149.077621
-35.430836,149.077652
-35.431099,149.080002
-35.431263,149.080063
-35.434406,149.083588
-35.433937,149.082886
-35.432125,149.082306
-35.431442,149.082291
-35.418682,149.067886
-35.417271,149.070694
-35.417377,149.07074
-35.422657,149.069733
-35.421806,149.069229
-35.422695,149.072906
-35.422523,149.072922
-35.419796,149.070847
-35.419975,149.070831
-35.430393,149.088165
-35.430126,149.088257
-35.431595,149.088806
-35.431553,149.088898
-35.431904,149.092377
-35.431675,149.092056
-35.433964,149.094666
-35.433781,149.09465
-35.435753,149.098663
-35.435688,149.098404
-35.435898,149.10202
-35.435978,149.101944
-35.436062,149.104675
-35.436089,149.104828
-35.435623,149.109482
-35.435703,149.109482
-35.438694,149.110352
-35.43858,149.110413
-35.417179,149.100647
-35.417183,149.100372
-35.440018,149.113144
-35.439957,149.113235
-35.433498,149.111282
-35.44112,149.115921
-35.433212,149.112595
-35.441063,149.118881
-35.440384,149.120712
-35.440536,149.120682
-35.445644,149.116776
-35.445576,149.116669
-35.446537,149.114517
-35.446522,149.114883
-35.448009,149.115219
-35.448128,149.115265
-35.450546,149.117416
-35.450596,149.117264
-35.43325,149.118423
-35.433113,149.118225
-35.431156,149.119171
-35.431118,149.119354
-35.429241,149.121445
-35.429356,149.120941
-35.430847,149.123535
-35.430916,149.123428
-35.431496,149.12706
-35.431725,149.126984
-35.429424,149.128799
-35.429787,149.128677
-35.427319,149.129807
-35.427189,149.129608
-35.426487,149.130997
-35.426567,149.130249
-35.424587,149.133209
-35.424694,149.133026
-35.423046,149.134918
-35.423023,149.134537
-35.421379,149.135986
-35.420925,149.136017
-35.419228,149.136093
-35.419094,149.135986
-35.416931,149.135468
-35.416759,149.135056
-35.415211,149.125153
-35.415329,149.125259
-35.414936,149.132904
-35.414982,149.132813
-35.414421,149.129059
-35.414482,149.129227
-35.409004,149.12796
-35.409157,149.127777
-35.409168,149.123108
-35.409225,149.122726
-35.406963,149.120438
-35.406757,149.120468
-35.404228,149.122452
-35.404354,149.121964
-35.402393,149.12413
-35.401344,149.12355
-35.398518,149.122116
-35.398529,149.122192
-35.400242,149.115692
-35.401436,149.114273
-35.401321,149.112762
-35.401833,149.110306
-35.401741,149.110016
-35.402649,149.107483
-35.402691,149.107559
-35.39954,149.115829
-35.398911,149.099472
-35.40226,149.103287
-35.401943,149.100571
-35.403648,149.099167
-35.403801,149.09938
-35.401993,149.102753
-35.403908,149.095993
-35.404015,149.09584
-35.405556,149.093552
-35.405602,149.093292
-35.406139,149.090576
-35.406265,149.090561
-35.441864,149.086182
-35.441692,149.086151
-35.443043,149.085968
-35.44516,149.087799
-35.44677,149.086075
-35.44709,149.083847
-35.448402,149.086121
-35.450436,149.089096
-35.452904,149.087967
-35.458122,149.086121
-35.460579,149.085663
-35.46228,149.083206
-35.462017,149.07991
-35.459068,149.080048
-35.460037,149.081741
-35.39864,149.117569
-35.398045,149.118256
-35.464787,149.084183
-35.467258,149.087646
-35.472809,149.089279
-35.474079,149.09317
-35.471703,149.096924
-35.469475,149.097641
-35.467556,149.095367
-35.465279,149.094101
-35.463821,149.096497
-35.465324,149.098404
-35.466305,149.105606
-35.462227,149.105194
-35.461224,149.102203
-35.460419,149.099258
-35.466404,149.100418
-35.456169,149.092499
-35.457714,149.097366
-35.456352,149.092468
-35.457981,149.097458
-35.460468,149.099014
-35.461296,149.101807
-35.4622,149.10498
-35.464855,149.097977
-35.464989,149.093948
-35.46759,149.095276
-35.470394,149.097656
-35.472431,149.095947
-35.473495,149.091736
-35.472851,149.089447
-35.470764,149.088898
-35.470875,149.088791
-35.467175,149.087677
-35.465672,149.085587
-35.461983,149.083649
-35.460663,149.085724
-35.452995,149.087341
-35.450897,149.08934
-35.448734,149.087143
-35.448162,149.084198
-35.446545,149.085449
-35.444641,149.087173
-35.443119,149.085846
-35.428791,149.082199
-35.428825,149.082367
-35.340843,149.052338
-35.340981,149.050278
-35.344681,149.047089
-35.344612,149.047043
-35.346409,149.046936
-35.3466,149.047043
-35.348286,149.04924
-35.347359,149.048187
-35.352146,149.053757
-35.355186,149.050491
-35.351921,149.054153
-35.46656,149.10051
-35.469933,149.098663
-35.355114,149.050797
-35.358479,149.047928
-35.360592,149.047806
-35.363483,149.049713
-35.366089,149.051514
-35.366009,149.051361
-35.358208,149.047882
-35.360443,149.047653
-35.36356,149.049606
-35.375137,149.048965
-35.37534,149.048615
-35.377991,149.04837
-35.378094,149.048294
-35.380211,149.051865
-35.37986,149.051193
-35.38121,149.051773
-35.382092,149.051147
-35.382088,149.051285
-35.385033,149.050568
-35.385777,149.050415
-35.389282,149.051636
-35.389191,149.051361
-35.390041,149.05365
-35.389198,149.056656
-35.390316,149.053802
-35.389393,149.057159
-35.390377,149.059036
-35.390362,149.058853
-35.39291,149.058197
-35.39312,149.058014
-35.395622,149.05925
-35.395813,149.05928
-35.39579,149.062881
-35.39592,149.062897
-35.3941,149.065918
-35.39397,149.065796
-35.393074,149.067673
-35.414871,149.066025
-35.392578,149.068207
-35.391098,149.071579
-35.39098,149.071503
-35.39003,149.073547
-35.390171,149.073486
-35.389587,149.079208
-35.389343,149.079285
-35.388111,149.081116
-35.38797,149.081268
-35.387684,149.083832
